pH,EC,TDS,Na,K,Ca,Mg,Cl,HCO3,SO4,NO3,Larson_index,Larson_corrosive,source
8.49,130.7,92.2,13.3,0.0665,17.2,8.16,8.633,103.70000000000016,1.967,4.988,0.19147191137938058,0,MHLATHUZE
9.11,154.6,109.3,17.1,4.71,11.6,8.11,14.912,76.25000000000001,0.584,0.61,0.35604310334684763,0,MHLATHUZE
8.41,156.9,112.9,18.6,1.98,12.4,8.19,14.813,91.49999999999979,1.247,2.466,0.3132506862075251,0,MHLATHUZE
9.05,666.0,454.7,79.5,2.11,28.2,50.5,77.126,137.25,24.287,10.875,1.4167322076210607,1,MHLATHUZE
8.71,333.8,226.5,37.1,1.92,11.2,19.0,57.952,42.69999999999998,4.861,52.267,2.6250513364426094,1,MHLATHUZE
8.47,328.7,223.1,35.9,1.34,10.1,19.0,57.491,50.32500000000003,5.054,53.312,2.221294643089725,1,MHLATHUZE
7.87,669.0,449.0,66.9,1.42,28.4,35.2,68.718,70.15000000000006,13.31,79.89,2.1680068604257614,1,MHLATHUZE
8.2,887.0,607.0,74.5,0.494,59.6,54.0,141.747,198.25000000000003,14.182,42.943,1.4123009040603636,1,MHLATHUZE
7.54,1534.0,891.0,97.4,0.4695,71.8,74.0,204.283,222.64999999999986,27.205,31.276,1.8895375192309083,1,MHLATHUZE
7.51,1174.0,761.0,89.0,0.5125,56.7,50.9,138.458,274.4999999999998,21.448,52.109,1.0666279789772055,1,MHLATHUZE
7.87,1103.0,701.0,84.7,0.8985,49.6,54.4,125.505,266.8749999999999,19.739,66.188,0.9972994002041562,0,MHLATHUZE
7.81,1156.0,702.0,87.5,0.896,49.2,54.5,124.158,163.78499999999994,19.761,64.735,1.611209234469854,1,MHLATHUZE
7.1,4359.0,2804.0,116.0,1.78,851.0,4.11,1282.145,45.75000000000021,167.169,6.209,57.51672280271717,1,MHLATHUZE
7.32,3445.0,2236.0,110.0,1.44,649.0,3.81,1016.38,33.55,115.302,6.246,60.87062715656521,1,MHLATHUZE
6.5,1305.0,883.0,79.0,2.67,74.3,103.0,196.368,184.52499999999998,23.328,8.481,2.152731209643247,1,MHLATHUZE
7.4,1198.0,757.0,85.4,1.08,68.3,53.3,185.721,138.77500000000003,16.63,64.441,2.607749573598319,1,MHLATHUZE
7.16,5206.0,3130.0,115.0,1.98,851.0,7.77,1399.8,65.57500000000002,196.79,6457.0,44.36358347425307,1,MHLATHUZE
6.65,1439.0,947.0,96.4,1.46,649.0,55.9,255.678,225.69999999999996,26.629,7.033,2.249428469455436,1,MHLATHUZE
6.24,1741.0,1152.0,99.3,4.79,65.1,101.0,325.134,215.93999999999997,57.243,28.004,3.264876653787004,1,MHLATHUZE
6.54,1040.0,681.0,63.5,-0.1245,87.5,56.5,147.591,221.12499999999994,50.78,12.28,1.7322055708803117,1,MHLATHUZE
6.34,1498.0,991.0,84.3,1.21,92.4,101.0,217.0,260.16499999999985,52.932,46.098,1.9524489582932236,1,MHLATHUZE
5.59,2023.0,1330.0,80.6,0.981,180.0,200.0,418.99,216.55000000000027,65.084,74.28,4.093611987865219,1,MHLATHUZE
6.83,1405.0,900.0,82.2,1.08,66.1,2.61,325.333,102.17499999999997,79.312,10.883,7.452237832965751,1,MHLATHUZE
7.63,157.1,113.6,10.7,1.65,21.5,10.2,10.629,93.0249999999999,1.662,4.278,0.24204180425158592,0,MHLATHUZE
8.27,103.0,72.4,8.33,1.81,10.3,4.08,8.808,77.77499999999999,0.466,0.0,0.21013325884477732,0,MHLATHUZE
8.23,86.5,62.1,8.01,1.97,7.43,4.21,7.689,59.47500000000004,0.547,1.66,0.2458688398762226,0,MHLATHUZE
8.09,98.9,75.0,8.75,1.98,13.6,6.9,7.26,86.925,1.175,1.104,0.1780882691840042,0,MHLATHUZE
8.16,75.9,54.5,6.54,1.82,6.2,3.58,6.132,48.80000000000005,0.673,1.016,0.2513011130775505,0,MHLATHUZE
8.86,297.5,217.8,18.9,1.56,51.7,22.6,15.239,160.1250000000001,6.809,4.725,0.27183401145913366,0,MHLATHUZE
6.89,503.0,363.8,33.9,4.35,20.2,44.5,111.819,28.975000000000023,2.527,81.762,6.863432080656441,1,MHLATHUZE
7.14,138.4,108.7,12.5,2.05,12.0,11.0,20.523,60.99999999999996,12.362,2.695,1.0939418860754693,1,MHLATHUZE
7.03,261.4,196.9,21.5,2.33,12.6,16.7,50.086,30.49999999999996,2.627,56.329,3.045105615169257,1,MHLATHUZE
7.34,461.6,340.2,24.9,1.97,107.0,20.6,69.438,114.3749999999998,15.483,9.02,1.3888171168992227,1,MHLATHUZE
7.45,182.6,132.5,15.9,2.21,8.71,10.4,32.477,68.62499999999994,9.819,12.941,1.1780375413831787,1,MHLATHUZE
7.74,136.6,115.4,16.9,1.11,8.53,7.86,35.848,47.27500000000008,1.834,3.298,1.4036257528416674,1,MHLATHUZE
7.46,709.0,489.0,54.0,1.94,85.3,34.2,87.664,183.00000000000017,9.491,4.476,0.9562277716264839,0,MHLATHUZE
7.91,519.0,350.0,27.1,1.77,27.9,33.4,85.762,42.70000000000001,26.581,13.603,5.038363712399334,1,MHLATHUZE
7.61,95.1,70.2,8.48,1.01,2.3,3.21,21.874,21.34999999999998,0.996,3.372,1.8818322676049835,1,MHLATHUZE
7.59,123.8,90.8,19.3,0.5105,20.0,16.6,14.954,65.57499999999996,3.794,4.527,0.5394810641835639,0,MHLATHUZE
8.71,558.0,377.1,7.36,122.0,4.46,2.29,52.845,179.9500000000001,18.1,4.454,0.7609758209138422,0,MHLATHUZE
10.61,206.3,146.2,4.8,128.0,3.0,2.74,17.928,68.015,1.187,6.228,0.4979945338990213,0,MHLATHUZE
9.46,120.8,88.9,8.14,68.6,10.6,7.87,15.839,42.70000000000017,1.009,6.409,0.6984436007804351,0,MHLATHUZE
7.46,1574.0,1138.0,63.9,67.4,35.7,45.2,337.621,183.00000000000065,112.918,34.679,4.742984780965397,1,MHLATHUZE
8.86,753.0,534.0,76.2,68.8,41.8,48.8,111.249,76.24999999999979,44.251,75.204,3.985552642875153,1,MHLATHUZE
8.72,368.6,249.3,62.3,28.3,20.3,29.7,66.802,94.54999999999998,3.266,1.122,1.3037392491185182,1,MHLATHUZE
8.59,596.0,431.6,41.4,244.0,37.4,42.0,74.155,146.40000000000057,11.026,42.876,1.0631144477297765,1,MHLATHUZE
7.57,619.0,422.5,61.3,235.0,32.7,46.0,117.091,91.49999999999999,15.237,70.17,2.6255156150293235,1,MHLATHUZE
7.93,888.0,602.0,53.7,17.3,19.6,44.6,144.139,125.04999999999984,36.419,90.445,2.7237483350097906,1,MHLATHUZE
8.42,662.0,482.0,101.0,7.24,49.0,91.8,135.726,85.40000000000013,36.126,71.677,3.810081840333074,1,MHLATHUZE
7.42,814.0,572.0,95.2,5.08,35.3,33.0,131.855,147.92499999999998,17.431,7.553,1.8334892813956107,1,MHLATHUZE
7.64,1705.0,1136.0,173.0,4.67,193.0,236.0,411.663,137.25000000000006,25.512,22.864,5.634373501382185,1,MHLATHUZE
8.15,1300.0,847.0,101.0,2.38,124.0,68.8,193.037,265.34999999999997,30.691,0.0,1.5459115259083784,1,MHLATHUZE
7.76,3688.0,2383.0,73.0,2.42,37.7,39.5,653.681,699.9750000000001,77.374,80.051,1.888089623778634,1,MHLATHUZE
7.58,1964.0,1273.0,121.0,3.23,89.7,102.0,435.502,128.10000000000002,66.115,3.365,7.162446443185437,1,MHLATHUZE
8.12,1098.0,718.0,59.3,5.12,77.3,75.4,149.708,210.45000000000005,24.265,22.61,1.5172663233687467,1,MHLATHUZE
9.93,2661.0,1750.0,107.0,3.21,126.0,148.0,808.917,35.07500000000007,8.554,6.224,40.31161447577458,1,MHLATHUZE
7.78,1091.0,719.0,33.1,2.94,34.7,25.9,124.163,244.00000000000023,32.139,18.153,1.2104519191681073,1,MHLATHUZE
9.5,2223.0,1465.0,295.0,2.59,93.7,0.407,380.078,353.8000000000003,38.975,7.152,2.1287861306950973,1,MHLATHUZE
6.05,162.01,44.4,9.99,5.84,9.26,6.6,17.799,48.8,5.589,1.544,0.9187210863689143,0,MHLATHUZE
6.96,165.9,107.7,10.2,4.91,9.64,6.27,24.136,27.449999999999978,4.283,0.918,1.9097158459446775,1,MHLATHUZE
6.43,171.5,120.3,8.76,5.32,15.8,8.93,22.877,70.15000000000002,2.475,0.958,0.6509074191509661,0,MHLATHUZE
6.36,105.3,71.3,5.91,5.45,4.13,3.16,26.407,36.59999999999998,4.511,0.875,1.5549051530625027,1,MHLATHUZE
6.57,163.7,110.7,6.77,5.37,10.1,6.34,23.582,70.15000000000006,4.649,1.138,0.7469445016862677,0,MHLATHUZE
6.6,308.9,190.9,30.7,6.21,9.19,13.4,42.013,100.64999999999998,7.575,2.766,0.9096210945817512,0,MHLATHUZE
7.45,147.7,107.8,11.7,5.05,12.0,7.61,17.976,67.09999999999997,5.834,1.674,0.6819777602094467,0,MHLATHUZE
7.24,166.6,110.8,11.1,5.15,12.9,7.6,19.208,85.39999999999992,5.986,1.227,0.5651903286671139,0,MHLATHUZE
7.53,1358.0,893.0,42.5,6.52,42.6,57.3,200.835,198.25000000000003,42.596,1.59,2.289414540341427,1,MHLATHUZE
8.06,130.8,96.7,5.03,4.76,12.0,6.9,19.524,67.1000000000001,5.845,4.243,0.7220992513782528,0,MHLATHUZE
7.33,689.0,468.5,60.3,6.32,35.8,38.1,109.444,182.99999999999997,18.851,2.931,1.291016908206868,1,MHLATHUZE
7.65,242.1,159.3,27.4,5.49,18.3,16.0,36.959,76.25000000000001,8.597,1.417,1.1206792552520486,1,MHLATHUZE
7.45,320.6,197.9,31.4,5.66,22.8,18.1,38.499,106.74999999999996,8.985,1.762,0.8345484809297814,0,MHLATHUZE
7.31,136.7,81.2,14.2,5.17,4.83,5.78,26.538,33.54999999999998,2.774,4.524,1.5714353238741858,1,MHLATHUZE
7.04,97.5,69.3,11.4,4.95,4.5,4.85,19.243,36.60000000000004,2.157,5.603,1.0546133787305738,1,MHLATHUZE
6.28,132.9,101.7,17.9,4.74,6.72,6.8,29.953,45.74999999999999,1.879,4.368,1.2311493739788113,1,MHLATHUZE
7.98,109.0,76.8,16.2,4.37,31.1,5.66,24.049,48.8,1.663,1.478,0.9347362185001579,0,MHLATHUZE
8.24,142.1,100.5,17.4,4.29,10.9,8.29,22.382,65.575,2.134,1.075,0.670115507256538,0,MHLATHUZE
8.5,105.3,83.5,14.8,3.89,8.55,7.14,18.776,70.15,2.52,1.826,0.5519232575111174,0,MHLATHUZE
7.9,125.8,85.9,14.1,4.18,8.06,7.57,18.708,64.05000000000003,1.307,2.65,0.5545420730810037,0,MHLATHUZE
8.32,122.2,83.6,12.6,3.56,8.49,8.1,18.346,70.14999999999996,1.469,3.242,0.5033072216135824,0,MHLATHUZE
8.36,60.0,45.1,7.33,2.22,5.1,3.25,10.186,48.80000000000005,3.21,1.551,0.5263654489683408,0,MHLATHUZE
7.71,98.5,66.2,9.6,2.25,7.02,4.39,15.919,45.74999999999999,9.5,2.929,1.1264476166146085,1,MHLATHUZE
8.29,88.6,69.3,9.73,1.81,12.4,5.07,9.815,67.09999999999997,3.982,1.053,0.4025275881463299,0,MHLATHUZE
8.7,134.6,93.2,11.8,1.48,14.4,11.7,10.53,79.29999999999993,2.675,3.488,0.3142416461070897,0,MHLATHUZE
7.48,211.1,145.9,23.6,1.24,19.5,16.1,16.888,112.84999999999987,2.506,3.645,0.31397856577097477,0,MHLATHUZE
8.13,131.2,91.8,11.3,0.281,15.0,12.0,10.473,83.875,2.827,3.093,0.3005360402917983,0,MHLATHUZE
8.44,109.5,79.3,13.0,2.37,8.5,8.22,10.363,91.49999999999999,0.784,2.41,0.2166921612092691,0,MHLATHUZE
8.58,96.7,70.3,10.2,1.18,9.0,6.82,10.728,61.0,2.016,4.477,0.3866517967256383,0,MHLATHUZE
8.8,374.5,257.7,38.3,3.18,34.9,23.4,48.888,122.0,15.963,5.221,1.0221124085052504,1,MHLATHUZE
8.52,312.5,205.6,31.3,0.779,8.1,21.3,67.765,65.57499999999996,19.187,7.651,2.5219621162512764,1,MHLATHUZE
6.9,87.8,58.1,67.2,3.5,48.5,52.5,129.317,194.89500000000024,48.665,3.064,1.7763899980960354,1,MHLATHUZE
7.33,900.0,596.0,69.5,1.93,47.3,51.9,159.81,237.90000000000038,9.472,2.083,1.257289297624984,1,MHLATHUZE
5.86,600.0,418.0,51.4,2.21,18.8,32.4,105.029,146.40000000000015,15.751,15.304,1.5080682578171711,1,MHLATHUZE
6.61,720.0,509.0,58.6,5.79,29.9,44.0,90.82,210.45,13.648,57.37,0.9074999756023024,0,MHLATHUZE
6.36,750.0,530.0,67.5,0.7435,25.5,34.2,119.345,170.79999999999993,15.14,5.112,1.4277956457049643,1,MHLATHUZE
6.56,554.0,365.4,43.3,3.13,14.5,27.5,77.342,150.97500000000008,5.645,6.944,0.9766719567348469,0,MHLATHUZE
5.99,1732.0,1195.0,78.1,1.76,158.0,163.0,285.003,384.90999999999997,64.133,19.155,1.6976838823379454,1,MHLATHUZE
6.45,1220.0,840.0,74.4,1.3,90.8,85.6,153.2799,338.5499999999997,16.482,7.491,0.9029132403705808,0,MHLATHUZE
6.22,781.0,511.0,48.3,2.9,44.1,43.6,115.446,106.13999999999999,3.932,1.493,1.966082808764477,1,MHLATHUZE
8.34,98.5,86.0,9.76,2.09,12.1,9.56,13.763,70.76000000000003,1.872,2.142,0.4019687633029075,0,MHLATHUZE
8.91,58.6,50.4,6.05,1.34,7.81,6.42,8.693,48.79999999999994,1.51,1.995,0.3852001035763092,0,MHLATHUZE
8.55,99.1,94.7,8.57,1.3,18.4,12.7,7.404,88.45000000000007,3.695,0.783,0.2502082301342044,0,MHLATHUZE
8.73,62.9,53.9,5.92,1.17,8.75,6.96,9.127,51.84999999999999,1.708,0.974,0.3866495661610857,0,MHLATHUZE
8.61,265.2,209.2,19.0,1.71,32.6,29.6,21.664,146.40000000000003,7.47,5.135,0.38432170173018126,0,MHLATHUZE
8.68,369.5,310.2,26.6,1.7,50.7,48.0,47.187,190.6249999999999,6.783,4.727,0.5164371914765242,0,MHLATHUZE
8.91,134.6,109.5,12.9,1.39,18.7,15.9,11.502,88.45000000000007,6.083,4.916,0.3985439031968748,0,MHLATHUZE
8.46,79.9,69.6,8.16,1.52,11.2,8.43,14.226,51.85000000000004,2.489,5.823,0.5941720674655832,0,MHLATHUZE
7.15,276.4,217.0,28.6,2.65,12.9,19.3,67.926,68.62500000000003,9.887,2.912,2.0695885607418685,1,MHLATHUZE
7.48,124.6,97.7,14.1,0.788,7.27,6.21,30.251,38.12499999999995,4.817,2.152,1.6866299804370597,1,MHLATHUZE
7.68,77.9,63.3,9.82,0.804,2.2,3.03,19.85,24.400000000000023,1.591,4.372,1.5657972693794031,1,MHLATHUZE
7.71,66.9,58.2,9.51,0.6645,12.9,8.63,26.636,22.874999999999996,3.597,1.66,2.403557596282749,1,MHLATHUZE
8.26,220.9,170.9,54.9,7.12,56.0,41.9,35.042,88.45000000000012,7.951,1.388,0.9102450529240431,0,MHLATHUZE
8.89,714.0,532.0,61.7,4.39,42.5,46.6,147.043,158.59999999999985,11.889,2.938,1.7861121778859403,1,MHLATHUZE
9.35,730.0,521.0,59.4,80.1,41.8,46.5,161.05,167.75000000000017,5.063,3.086,1.7290071367937887,1,MHLATHUZE
9.35,736.0,531.0,48.4,19.7,46.8,54.4,162.775,152.50000000000003,10.296,2.318,2.0085617930501947,1,MHLATHUZE
8.98,648.0,471.0,17.0,8.06,25.3,19.0,121.768,198.2499999999999,15.958,2.715,1.2616190956619393,1,MHLATHUZE
7.45,192.7,150.5,16.1,18.6,39.6,15.4,29.132,91.49999999999999,7.913,5.708,0.7676847078614593,0,MHLATHUZE
8.4,238.8,186.4,21.4,98.6,41.3,43.9,41.24,85.40000000000002,11.538,3.563,1.1743804261612878,1,MHLATHUZE
8.72,331.6,266.0,28.5,135.0,72.2,49.5,44.08,137.25,10.533,2.713,0.7477334864315238,0,MHLATHUZE
9.67,52.8,42.4,9.95,67.1,24.0,7.7,9.184,39.649999999999935,1.583,2.4375,0.5000828042025147,0,MHLATHUZE
9.29,38.9,31.0,9.26,80.8,10.5,5.39,13.118,27.144999999999992,2.347,1.89,1.051394171154854,1,MHLATHUZE
9.26,95.7,75.5,4.55,95.3,3.44,2.92,14.59,60.39000000000001,2.181,1.464,0.5075629792818651,0,MHLATHUZE
9.35,36.3,30.4,6.38,66.3,1.88,1.9,7.682,36.60000000000001,1.646,2.964,0.47550048057754263,0,MHLATHUZE
9.15,44.4,36.8,8.2,70.0,3.97,7.29,11.358,27.44999999999996,1.303,2.819,0.8327305378663618,0,MHLATHUZE
8.65,92.4,74.6,77.1,62.6,135.0,163.0,17.675,54.89999999999992,2.667,2.94,0.6775231705399211,0,MHLATHUZE
8.59,824.0,608.0,169.0,63.5,57.5,60.0,154.028,186.05,21.384,3.457,1.7168702008333858,1,MHLATHUZE
8.48,2393.0,1840.0,44.4,57.7,3.93,4.64,800.803,137.25,21.516,0.0,10.440063799322846,1,MHLATHUZE
8.13,630.0,470.0,71.0,208.0,31.1,36.7,101.095,118.95000000000007,9.726,5.859,1.6704694806189908,1,MHLATHUZE
8.26,713.0,540.0,56.9,60.2,17.8,24.5,109.869,213.50000000000009,11.266,9.759,1.0197458507317294,1,MHLATHUZE
7.85,388.0,276.3,20.8,3.28,26.7,0.114,57.959,161.65000000000015,3.316,1.632,0.669200349132838,0,MHLATHUZE
7.8,2420.0,1549.0,267.0,5.0,88.0,68.0,497.0,251.0,64.2,2.0,4.057711752373352,1,MHLATHUZE
8.3,745.0,477.0,71.0,5.0,25.0,15.0,99.0,142.0,10.0,10.0,1.3788231960777764,1,MHLATHUZE
7.8,670.0,429.0,71.0,6.0,10.0,11.0,74.0,124.0,12.0,14.0,1.2729670082291904,1,MHLATHUZE
8.1,1110.0,710.0,93.0,4.0,35.0,25.0,190.0,140.0,10.0,7.0,2.5172107670552655,1,MHLATHUZE
8.2,1320.0,845.0,124.0,6.0,25.0,21.0,165.0,214.0,12.0,10.0,1.469460385818283,1,MHLATHUZE
8.1,1490.0,954.0,159.0,4.0,38.0,32.0,182.0,281.0,18.0,19.0,1.277463499392299,1,MHLATHUZE
7.8,1334.5,890.0,144.5,3.94118,32.5,27.5,166.0,223.0,29.0,15.0,1.611564223373432,1,MHLATHUZE
8.2,789.0,505.0,89.0,4.0,16.0,21.0,123.0,141.0,11.0,8.0,1.6995684611229753,1,MHLATHUZE
7.6,823.5,544.4,76.0,4.6,25.5,16.5,115.9,155.6,11.5,14.0,1.4697301052601204,1,MHLATHUZE
8.5,480.0,307.0,34.0,5.0,10.0,16.0,83.0,55.0,8.0,11.0,2.966806354294396,1,MHLATHUZE
8.0,554.0,355.0,56.0,6.0,13.0,21.0,95.0,105.0,5.0,14.0,1.678140511370177,1,MHLATHUZE
7.9,645.0,413.0,52.0,5.0,12.0,15.0,91.0,85.0,7.0,19.0,2.0517889918192314,1,MHLATHUZE
7.7,488.0,312.0,62.0,7.0,4.0,11.0,87.0,92.0,8.0,12.0,1.848463002558794,1,MHLATHUZE
7.4,491.0,314.0,53.0,6.0,7.0,6.0,68.0,82.0,8.0,10.0,1.6751027338613051,1,MHLATHUZE
8.1,392.0,251.0,28.0,6.0,5.0,10.0,65.0,45.0,5.0,8.0,2.7682867349942013,1,MHLATHUZE
7.7,399.0,255.0,38.0,7.0,6.0,9.0,83.0,43.0,11.0,8.0,3.972015942468996,1,MHLATHUZE
7.3,657.0,420.0,50.0,8.0,14.0,15.0,121.0,55.0,9.0,21.0,4.202099496068137,1,MHLATHUZE
6.5,897.0,574.0,60.0,12.0,27.0,16.0,157.0,55.0,11.0,29.0,5.421004552485207,1,MHLATHUZE
7.2,658.0,421.0,84.0,15.0,15.0,13.0,125.0,87.0,10.0,16.0,2.764833307045477,1,MHLATHUZE
7.0,470.0,301.0,33.0,5.0,11.0,13.0,91.0,37.0,7.0,5.0,4.713569305530666,1,MHLATHUZE
7.5,1821.0,1165.0,104.0,12.0,55.0,39.0,223.0,226.0,35.0,3.0,2.091699159595449,1,MHLATHUZE
7.3,3607.0,2308.0,278.0,124.0,175.0,28.0,524.0,459.0,45.0,12.0,2.213880968947904,1,MHLATHUZE
8.1,588.0,376.0,39.0,8.0,10.0,19.0,74.0,48.0,15.0,21.0,3.447296772091555,1,MHLATHUZE
7.0,9844.0,6300.0,1144.0,634.0,115.0,101.0,1531.0,1903.0,51.0,12.0,1.4527194723817587,1,MHLATHUZE
8.9,967.0,619.0,22.0,6.0,59.0,30.0,66.0,214.0,35.0,2.0,0.9463426409429604,0,MHLATHUZE
7.4,751.0,481.0,65.0,14.0,15.0,28.0,141.0,78.0,13.0,15.0,3.534613086535906,1,MHLATHUZE
6.1,2807.0,1796.0,258.0,121.0,89.0,33.0,457.0,357.0,23.0,19.0,2.366843419433843,1,MHLATHUZE
7.1,468.0,300.0,19.0,4.0,12.0,3.0,50.0,12.0,8.0,14.0,8.864942817095775,1,MHLATHUZE
6.2,1445.0,925.0,49.0,58.0,51.0,21.0,174.0,121.0,5.0,14.0,2.579906008189337,1,MHLATHUZE
6.1,557.0,356.0,26.0,10.0,15.0,12.0,50.0,104.0,6.0,6.0,0.9740168888958265,0,MHLATHUZE
7.0,1723.0,1162.0,306.0,5.0,26.0,20.0,261.0,297.0,124.0,12.0,2.5732446353716987,1,MHLATHUZE
8.1,1040.0,666.0,103.0,6.0,17.0,23.0,166.0,177.0,16.0,22.0,1.8437779602959525,1,MHLATHUZE
9.5,225.0,144.0,15.0,5.0,9.0,9.0,40.0,52.0,2.0,1.0,1.4216158625414632,1,MHLATHUZE
8.7,274.0,175.0,25.0,4.0,6.0,4.0,42.0,48.0,4.0,6.0,1.7176605330572514,1,MHLATHUZE
7.2,280.0,179.0,23.0,5.0,11.0,8.0,58.0,52.0,4.0,4.0,2.115090241992638,1,MHLATHUZE
7.0,902.5,590.9,87.5,10.0,29.0,25.5,193.5,84.9,26.0,13.0,4.700655855985501,1,MHLATHUZE
6.63,586.5,371.56,67.5,7.5,21.0,14.5,116.5266625,55.0,34.0,14.0,5.21701908178014,1,MHLATHUZE
5.575,1352.0,857.46,118.5,15.5,45.5,27.0,248.0,155.5,58.0,4.0,3.6925303015497617,1,MHLATHUZE
6.665,15606.0,8446.4,3033.5,334.0,148.0,126.0,4454.0,431.5,281.5,24.0,19.422567679423153,1,MHLATHUZE
6.4,292.0,191.3,31.5,5.0,11.5,12.5,53.9715125,76.05,12.5,3.0,1.6390274276069954,1,MHLATHUZE
6.12,253.0,161.92000000000002,12.1807,2.0,22.0,7.83888,22.0,89.67,3.95,2.0,0.5341745612430255,0,LUVUVU
5.83,828.0,529.92,62.0259,5.0,72.0,23.0,36.0,399.0,6.69,3.0,0.19788478724837028,0,LUVUVU
5.94,975.0,624.0,89.5817,3.66254,82.0,27.0,66.22059999999999,476.0,12.0,2.0,0.3034854658197571,0,LUVUVU
5.94,773.0,494.72,45.5573,2.0,74.0,29.0,99.33090000000001,288.225,14.9,12.0,0.7244763940925749,0,LUVUVU
6.05,596.0,381.44,29.0,3.0,48.0644,22.0,54.0,245.0,7.82,15.0,0.4604335526202778,0,LUVUVU
6.11,556.0,355.84000000000003,37.4411,2.0,54.0,14.0,30.0,249.0,15.5,18.0,0.36551775164257216,0,LUVUVU
6.16,555.0,355.2,34.3184,2.28599,61.0,16.0,39.0,265.0,8.02,20.0,0.3301828332769872,0,LUVUVU
6.13,680.0,435.2,41.0,2.0,74.0,11.0,74.0,265.0,11.8,11.0,0.5937349180544199,0,LUVUVU
6.45,520.0,332.8,30.0,5.0,51.0,14.0,38.0,245.0,5.43,6.0,0.3232521320404852,0,LUVUVU
